,Title,Video_ID,Published_At,Keyword,Likes,Comments,Views
0,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,23-08-22,tech,3407,672,135612
1,The most EXPENSIVE thing I own.,b3x28s61q3c,24-08-22,tech,76779,4306,1758063
2,My New House Gaming Setup is SICK!,4mgePWWCAmA,23-08-22,tech,63825,3338,1564007
3,Petrol Vs Liquid Nitrogen | Freezing Experiment | à´ªàµ†à´Ÿàµà´°àµ‹à´³à´¿à´¨àµ† à´à´¸àµ à´†à´•à´¾àµ» à´ªà´±àµà´±àµà´®àµ‹ | M4 Tech |,kXiYSI7H2b0,23-08-22,tech,71566,1426,922918
4,Best Back to School Tech 2022!,ErMwWXQxHp0,08-08-22,tech,96513,5155,1855644
5,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,05-11-21,tech,33570,1643,943119
6,Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,13-06-22,tech,135047,9367,5937790
7,I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,07-08-22,tech,216935,12605,4782514
8,15 Emerging Technologies that Will Change the World,wLlL46pYcg4,08-12-21,tech,45565,2882,7001236
9,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,14-07-22,tech,24252,1068,667767
10,Dope Tech: The Most Extreme Gaming Monitor!,MEiq0oCUb_8,15-08-22,tech,118001,4123,2359142
11,Cool Tech Under $50 - August!,pT_9hntWj34,06-08-22,tech,20999,3091,413179
12,Cool Back to School Tech 2022 ðŸ”¥ (Under $100),cj4lxmHQV0o,13-08-22,tech,15322,547,389114
13,Best Tech/EDC Gifts Under $50 for Father&#39;s Day! - Gift Guide 2022,d-BdIo8_wpA,15-12-21,tech,17866,157,444953
14,My Massive Tech Unboxing 47.0!,eFhhW6fsAbQ,09-07-22,tech,13217,442,371563
15,Why Millennials Are Leaving Six-Figure Tech Jobs,N88OE2ZCHBM,04-06-21,tech,26890,4999,1633059
16,10 Coolest Gadgets and Inventions That Will Blow Your Mind,PKATJiyz0iI,13-08-21,tech,9562,199,760249
17,17 Coolest Gadgets You Can Actually Buy,qiMnSaZWf3M,21-07-22,tech,11743,143,1086568
